hole_id,Sample_id,depth_from,depth_to,fe,sio2,al2o3,loi,p,,loi,,bin
B03,,25.9,27.45,64,1.8,2.49,3.89,0.04,,,,
B03,,27.45,29.55,63,1.06,3.09,5.36,0.04,,,,
B03,,29.55,31.65,64.6,0.88,1.95,4.49,0.04,,,,
B03,,31.65,33.5,64,1.02,1.54,5.57,0.05,,,,
B03,,33.5,35.35,64,0.8,1.33,6.05,0.08,,,,
B03,,35.35,38.1,64.7,1.18,0.92,5.08,0.05,,,,
B03,,38.1,40.2,65.6,1.14,0.95,3.9,0.06,,,,
B03,,40.2,42.65,64,1.12,1.88,5.38,0.07,,,,
B03,,42.65,44.75,64.6,0.9,1.82,4.65,0.14,,,,
B03,,44.75,47.15,63,1.02,1.63,7.7,0.1,,,,
B03,,47.15,49.25,62.8,1.18,1,7.52,0.14,,,,
B03,,49.25,51.7,63.3,1.08,1.13,6.77,0.14,,,,
B03,,51.7,53.8,64.4,1.44,1.65,4.32,0.13,,,,
B03,,53.8,56.25,64.2,0.78,0.54,6.37,0.1,,,,
B03,,56.25,59.05,63.6,0.8,1.24,6.51,0.16,,,,
B03,,59.05,60.6,62.8,0.9,1.63,7.17,0.09,,,,
B03,,60.6,62.45,65.3,0.86,0.87,5.28,0.13,,,,
B03,,62.45,64,64.2,0.86,0.87,5.98,0.12,,,,
B03,,64,65.5,64.8,0.82,0.56,5.46,0.09,,,,
B03,,65.5,67.65,64,0.88,1.15,5.95,0.12,,,,
B03,,67.65,70.1,63.6,1.6,0.99,6.6,0.14,,,,
B03,,70.1,71.9,65.3,0.7,1.09,4.63,0.06,,,,
B03,,71.9,73.75,64,1.14,0.7,6.39,0.07,,,,
B03,,73.75,75.85,63.8,1.28,1.2,6.09,0.08,,,,
B03,,75.85,77.7,64,1.06,1.02,6.1,0.07,,,,
B03,,77.7,80,64,1,1.49,5.59,0.13,,,,
B03,,80,82.15,64.6,0.9,1.02,5.5,0.09,,,,
B03,,82.15,84.85,65,0.6,0.95,5.4,0.07,,,,
B03,,84.85,86.9,62.8,1.8,2.35,5.45,,,,,
B03,,86.9,88.15,65.4,1,0.95,4.33,,,,,
B03,,88.15,90,65.6,1,0.68,4.21,,,,,
B03,,90,92.1,65.6,0.8,0.78,4.31,,,,,
B03,,92.1,94.5,65.4,1,1,4.22,,,,,
B03,,94.5,96.35,64.8,1,0.96,3.08,,,,,
B03,,96.35,99.05,64.8,1.04,1.18,4.71,,,,,
B03,,99.05,100.6,64.8,1.14,1.32,4.48,,,,,
B03,,100.6,101.8,63.2,1.76,1.17,6.19,,,,,
B03,,101.8,103.9,64.2,1.74,1.18,4.96,,,,,
B03,,103.9,106.35,65,1.44,1.2,4.11,,,,,
B03,,106.35,108.6,65.4,1,0.85,4.53,,,,,
B03,,108.6,109.8,65.4,0.96,0.96,4.37,,,,,
B03,,109.8,111.3,65.8,0.9,1.2,3.47,,,,,
B03,,111.3,112.8,66,1.34,1.53,2.45,,,,,
B03,,112.8,116.1,64.4,1.5,1.5,4.67,,,,,
B03,,116.1,118.2,65.4,1.3,1.4,3.3,,,,,
B03,,118.2,120.65,65.1,1.2,1.3,3.95,,,,,
B03,,120.65,122.75,64.5,2,1.01,4.7,,,,,
B03,,122.75,124.85,65,0.92,0.83,5,,,,,
B03,,124.85,126.65,65.2,1.12,0.65,4.45,,,,,
B03,,126.65,128.5,64.2,1.82,1.42,4.4,,,,,
B03,,128.5,130.9,64.4,1.5,0.62,5.59,,,,,
B04,,0,1.2,54.8,7.62,8.02,5.5,0.05,,,,
B04,,1.2,2.4,55.6,7.94,7.95,4.5,0.05,,,,
B04,,2.4,5.15,57.6,5.82,7.11,4.2,0.04,,,,
B04,,5.15,7.6,49.8,20.44,5.36,2.5,0.04,,,,
B04,,7.6,10.05,47.6,26,2.83,2.7,0.04,,,,
B05,,0,1.2,54.3,6.8,8.65,6.4,0.06,,,,
B05,,1.2,4,61.2,1.52,1.46,6,0.05,,,,
B05,,4,5.5,51.2,6.5,12,7.7,0.06,,,,
B05,,5.5,8.55,50,5.4,13.9,8.7,0.06,,,,
B05,,8.55,10.65,60.3,2,5.38,5.9,0.06,,,,
B05,,10.65,12.5,62.5,1.2,4.52,4.4,0.05,,,,
B05,,12.5,14.3,59.6,1.4,6,6.8,0.07,,,,
B05,,14.3,16.75,63.8,1.5,2.17,4.8,0.06,,,,
B05,,16.75,18.9,64.2,1.2,2.49,4.1,0.06,,,,
B05,,18.9,20.7,62.6,1.6,4.09,4.3,0.07,,,,
B05,,20.7,22.85,64.3,1,2.45,4.2,0.06,,,,
B05,,22.85,24.4,65.6,0.8,1.2,4,0.06,,,,
B05,,24.4,26.8,63.4,1.2,3.08,5,0.06,,,,
B05,,26.8,28.65,64.9,1,2.43,3.5,0.06,,,,
B05,,28.65,30.5,65.6,0.75,1.86,3.1,0.06,,,,
B05,,30.5,32.9,65.2,0.8,2.18,3.4,0.06,,,,
B05,,32.9,34.7,65.8,0.86,1.78,3.6,0.06,,,,
B05,,34.7,36.85,63.7,1.26,3.26,3.8,0.06,,,,
B05,,36.85,38.7,64.4,1,1.85,5,0.07,,,,
B05,,38.7,40.2,60.8,1.1,5.76,6,0.06,,,,
B05,,40.2,42.05,64.6,0.8,2.8,3.9,0.07,,,,
B05,,42.05,44.45,65.1,0.6,2.1,4.1,0.06,,,,
B05,,44.45,46.3,64,1,3.18,4.2,0.06,,,,
B05,,46.3,48.45,65,0.86,2.15,3.9,0.06,,,,
B05,,48.45,50.6,63.8,1.5,1.7,5.17,0.06,,,,
B05,,50.6,53.35,64.2,1.78,2.04,3.97,0.06,,,,
B05,,53.35,55.5,63.9,1.26,1.36,5.66,0.06,,,,
B05,,55.5,57.05,64.8,0.86,2.23,3.85,0.06,,,,
